linha,descricao,agencia,sequencia,latitude,longitude
497,497-PENHA X COSME VELHO,Fetranspor,40,"-22.8654","-43.2537"
497,497-PENHA X COSME VELHO,Fetranspor,50,"-22.8488","-43.2582"
497,497-PENHA X COSME VELHO,Fetranspor,38,"-22.9056","-43.1875"
497,497-PENHA X COSME VELHO,Fetranspor,41,"-22.9123","-43.1923"
497,497-PENHA X COSME VELHO,Fetranspor,51,"-22.8462","-43.2606"
497,497-PENHA X COSME VELHO,Fetranspor,25,"-22.8857","-43.2286"
497,497-PENHA X COSME VELHO,Fetranspor,54,"-22.9246","-43.1791"
497,497-PENHA X COSME VELHO,Fetranspor,57,"-22.9291","-43.1794"
497,497-PENHA X COSME VELHO,Fetranspor,3,"-22.9394","-43.1961"
497,497-PENHA X COSME VELHO,Fetranspor,60,"-22.8377","-43.2764"
497,497-PENHA X COSME VELHO,Fetranspor,12,"-22.8568","-43.2581"
497,497-PENHA X COSME VELHO,Fetranspor,22,"-22.9093","-43.1936"
497,497-PENHA X COSME VELHO,Fetranspor,61,"-22.8363","-43.2791"
497,497-PENHA X COSME VELHO,Fetranspor,21,"-22.8716","-43.2461"
497,497-PENHA X COSME VELHO,Fetranspor,44,"-22.9146","-43.1884"
497,497-PENHA X COSME VELHO,Fetranspor,20,"-22.8704","-43.2469"
497,497-PENHA X COSME VELHO,Fetranspor,51,"-22.92","-43.1769"
497,497-PENHA X COSME VELHO,Fetranspor,24,"-22.8872","-43.2308"
497,497-PENHA X COSME VELHO,Fetranspor,33,"-22.9101","-43.206"
497,497-PENHA X COSME VELHO,Fetranspor,9,"-22.9309","-43.1776"
497,497-PENHA X COSME VELHO,Fetranspor,10,"-22.9267","-43.1766"
497,497-PENHA X COSME VELHO,Fetranspor,26,"-22.9072","-43.2094"
497,497-PENHA X COSME VELHO,Fetranspor,41,"-22.8632","-43.2529"
497,497-PENHA X COSME VELHO,Fetranspor,46,"-22.8564","-43.2523"
497,497-PENHA X COSME VELHO,Fetranspor,53,"-22.843","-43.2632"
497,497-PENHA X COSME VELHO,Fetranspor,58,"-22.8406","-43.2711"
497,497-PENHA X COSME VELHO,Fetranspor,5,"-22.8423","-43.2712"
497,497-PENHA X COSME VELHO,Fetranspor,6,"-22.9375","-43.1904"
497,497-PENHA X COSME VELHO,Fetranspor,44,"-22.8602","-43.2538"
497,497-PENHA X COSME VELHO,Fetranspor,42,"-22.9122","-43.1893"
497,497-PENHA X COSME VELHO,Fetranspor,45,"-22.9148","-43.1855"
497,497-PENHA X COSME VELHO,Fetranspor,49,"-22.9151","-43.1779"
497,497-PENHA X COSME VELHO,Fetranspor,4,"-22.9385","-43.1942"
497,497-PENHA X COSME VELHO,Fetranspor,39,"-22.9084","-43.1867"
497,497-PENHA X COSME VELHO,Fetranspor,53,"-22.9225","-43.1772"
497,497-PENHA X COSME VELHO,Fetranspor,66,"-22.9391","-43.1961"
497,497-PENHA X COSME VELHO,Fetranspor,5,"-22.9385","-43.1925"
497,497-PENHA X COSME VELHO,Fetranspor,11,"-22.9234","-43.1771"
497,497-PENHA X COSME VELHO,Fetranspor,52,"-22.8445","-43.2619"
497,497-PENHA X COSME VELHO,Fetranspor,47,"-22.9137","-43.1811"
497,497-PENHA X COSME VELHO,Fetranspor,48,"-22.9136","-43.1792"
497,497-PENHA X COSME VELHO,Fetranspor,17,"-22.913","-43.1822"
497,497-PENHA X COSME VELHO,Fetranspor,34,"-22.8839","-43.2361"
497,497-PENHA X COSME VELHO,Fetranspor,37,"-22.8751","-43.2428"
497,497-PENHA X COSME VELHO,Fetranspor,42,"-22.8628","-43.2535"
497,497-PENHA X COSME VELHO,Fetranspor,38,"-22.8718","-43.2492"
497,497-PENHA X COSME VELHO,Fetranspor,47,"-22.8531","-43.2531"
497,497-PENHA X COSME VELHO,Fetranspor,56,"-22.8407","-43.2673"
497,497-PENHA X COSME VELHO,Fetranspor,35,"-22.907","-43.196"
497,497-PENHA X COSME VELHO,Fetranspor,61,"-22.9337","-43.1863"
497,497-PENHA X COSME VELHO,Fetranspor,68,"-22.9402","-43.1999"
497,497-PENHA X COSME VELHO,Fetranspor,27,"-22.9038","-43.2096"
497,497-PENHA X COSME VELHO,Fetranspor,50,"-22.9183","-43.1771"
497,497-PENHA X COSME VELHO,Fetranspor,19,"-22.9123","-43.186"
497,497-PENHA X COSME VELHO,Fetranspor,16,"-22.8656","-43.2558"
497,497-PENHA X COSME VELHO,Fetranspor,36,"-22.9062","-43.1936"
497,497-PENHA X COSME VELHO,Fetranspor,8,"-22.9332","-43.1807"
497,497-PENHA X COSME VELHO,Fetranspor,3,"-22.8402","-43.2777"
497,497-PENHA X COSME VELHO,Fetranspor,7,"-22.9347","-43.1879"
497,497-PENHA X COSME VELHO,Fetranspor,52,"-22.9211","-43.1769"
497,497-PENHA X COSME VELHO,Fetranspor,37,"-22.9048","-43.1893"
497,497-PENHA X COSME VELHO,Fetranspor,65,"-22.9383","-43.1947"
497,497-PENHA X COSME VELHO,Fetranspor,33,"-22.886","-43.2341"
497,497-PENHA X COSME VELHO,Fetranspor,36,"-22.8777","-43.2409"
497,497-PENHA X COSME VELHO,Fetranspor,19,"-22.8652","-43.249"
497,497-PENHA X COSME VELHO,Fetranspor,55,"-22.9258","-43.1794"
497,497-PENHA X COSME VELHO,Fetranspor,67,"-22.9405","-43.1977"
497,497-PENHA X COSME VELHO,Fetranspor,13,"-22.9191","-43.1769"
497,497-PENHA X COSME VELHO,Fetranspor,21,"-22.9112","-43.1921"
497,497-PENHA X COSME VELHO,Fetranspor,26,"-22.8853","-43.2265"
497,497-PENHA X COSME VELHO,Fetranspor,15,"-22.8625","-43.2568"
497,497-PENHA X COSME VELHO,Fetranspor,30,"-22.9003","-43.2106"
497,497-PENHA X COSME VELHO,Fetranspor,30,"-22.887","-43.224"
497,497-PENHA X COSME VELHO,Fetranspor,7,"-22.8446","-43.2681"
497,497-PENHA X COSME VELHO,Fetranspor,29,"-22.8948","-43.2153"
497,497-PENHA X COSME VELHO,Fetranspor,62,"-22.9357","-43.1895"
497,497-PENHA X COSME VELHO,Fetranspor,12,"-22.9212","-43.1766"
497,497-PENHA X COSME VELHO,Fetranspor,29,"-22.8886","-43.2201"
497,497-PENHA X COSME VELHO,Fetranspor,32,"-22.9081","-43.2099"
497,497-PENHA X COSME VELHO,Fetranspor,43,"-22.9127","-43.1883"
497,497-PENHA X COSME VELHO,Fetranspor,20,"-22.9115","-43.1903"
497,497-PENHA X COSME VELHO,Fetranspor,18,"-22.8661","-43.252"
497,497-PENHA X COSME VELHO,Fetranspor,63,"-22.9378","-43.1904"
497,497-PENHA X COSME VELHO,Fetranspor,31,"-22.8847","-43.2265"
497,497-PENHA X COSME VELHO,Fetranspor,49,"-22.8511","-43.2559"
497,497-PENHA X COSME VELHO,Fetranspor,10,"-22.8546","-43.26"
497,497-PENHA X COSME VELHO,Fetranspor,54,"-22.8419","-43.2642"
497,497-PENHA X COSME VELHO,Fetranspor,40,"-22.9098","-43.1911"
497,497-PENHA X COSME VELHO,Fetranspor,23,"-22.9076","-43.1941"
497,497-PENHA X COSME VELHO,Fetranspor,32,"-22.8854","-43.2289"
497,497-PENHA X COSME VELHO,Fetranspor,62,"-22.8347","-43.2811"
497,497-PENHA X COSME VELHO,Fetranspor,64,"-22.9385","-43.1928"
497,497-PENHA X COSME VELHO,Fetranspor,18,"-22.9127","-43.1837"
497,497-PENHA X COSME VELHO,Fetranspor,25,"-22.9098","-43.2064"
497,497-PENHA X COSME VELHO,Fetranspor,57,"-22.8421","-43.2693"
497,497-PENHA X COSME VELHO,Fetranspor,6,"-22.8423","-43.2693"
497,497-PENHA X COSME VELHO,Fetranspor,8,"-22.8475","-43.2658"
497,497-PENHA X COSME VELHO,Fetranspor,11,"-22.8556","-43.259"
497,497-PENHA X COSME VELHO,Fetranspor,13,"-22.8593","-43.2563"
497,497-PENHA X COSME VELHO,Fetranspor,60,"-22.9326","-43.1829"
497,497-PENHA X COSME VELHO,Fetranspor,2,"-22.9405","-43.198"
497,497-PENHA X COSME VELHO,Fetranspor,59,"-22.8389","-43.274"
497,497-PENHA X COSME VELHO,Fetranspor,4,"-22.8411","-43.2743"
497,497-PENHA X COSME VELHO,Fetranspor,9,"-22.85","-43.2638"
497,497-PENHA X COSME VELHO,Fetranspor,15,"-22.9142","-43.177"
497,497-PENHA X COSME VELHO,Fetranspor,46,"-22.9144","-43.1837"
497,497-PENHA X COSME VELHO,Fetranspor,35,"-22.8813","-43.2384"
497,497-PENHA X COSME VELHO,Fetranspor,59,"-22.9317","-43.1805"
497,497-PENHA X COSME VELHO,Fetranspor,28,"-22.8909","-43.2152"
497,497-PENHA X COSME VELHO,Fetranspor,31,"-22.9034","-43.2104"
497,497-PENHA X COSME VELHO,Fetranspor,16,"-22.9134","-43.1791"
497,497-PENHA X COSME VELHO,Fetranspor,23,"-22.8859","-43.2349"
497,497-PENHA X COSME VELHO,Fetranspor,39,"-22.8693","-43.2544"
497,497-PENHA X COSME VELHO,Fetranspor,45,"-22.8577","-43.2525"
497,497-PENHA X COSME VELHO,Fetranspor,1,"-22.8365","-43.2819"
497,497-PENHA X COSME VELHO,Fetranspor,28,"-22.8893","-43.2204"
497,497-PENHA X COSME VELHO,Fetranspor,58,"-22.9311","-43.1794"
497,497-PENHA X COSME VELHO,Fetranspor,1,"-22.9402","-43.2"
497,497-PENHA X COSME VELHO,Fetranspor,14,"-22.9161","-43.1766"
497,497-PENHA X COSME VELHO,Fetranspor,55,"-22.8397","-43.266"
497,497-PENHA X COSME VELHO,Fetranspor,27,"-22.8871","-43.2246"
497,497-PENHA X COSME VELHO,Fetranspor,2,"-22.8389","-43.28"
497,497-PENHA X COSME VELHO,Fetranspor,14,"-22.8611","-43.256"
497,497-PENHA X COSME VELHO,Fetranspor,17,"-22.8668","-43.2542"
497,497-PENHA X COSME VELHO,Fetranspor,24,"-22.9079","-43.2008"
497,497-PENHA X COSME VELHO,Fetranspor,43,"-22.862","-43.2539"
497,497-PENHA X COSME VELHO,Fetranspor,22,"-22.875","-43.2435"
497,497-PENHA X COSME VELHO,Fetranspor,34,"-22.9081","-43.1995"
497,497-PENHA X COSME VELHO,Fetranspor,56,"-22.9275","-43.1794"
497,497-PENHA X COSME VELHO,Fetranspor,48,"-22.8523","-43.2546"
