linha,descricao,agencia,sequencia,latitude,longitude
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,6,"-22.921","-43.3743"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,7,"-22.8996","-43.1771"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,1,"-22.9161","-43.3783"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,29,"-22.9237","-43.3615"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,17,"-22.9237","-43.3615"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,36,"-22.898","-43.1803"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,45,"-22.9063","-43.1742"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,42,"-22.9177","-43.3767"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,13,"-22.9174","-43.3632"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,14,"-22.8974","-43.1986"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,16,"-22.8998","-43.2059"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,34,"-22.9182","-43.3671"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,40,"-22.9197","-43.3752"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,43,"-22.916","-43.3784"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,23,"-22.9345","-43.3525"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,30,"-22.8977","-43.1971"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,34,"-22.8958","-43.1863"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,30,"-22.9225","-43.3608"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,26,"-22.9003","-43.2069"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,3,"-22.9064","-43.1749"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,8,"-22.9221","-43.3717"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,28,"-22.9006","-43.1989"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,26,"-22.9279","-43.3555"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,2,"-22.9172","-43.377"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,43,"-22.9083","-43.1731"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,32,"-22.9176","-43.3612"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,35,"-22.9195","-43.3687"
2112,2112-TAQUARA X CASTELO (VIA LINHA AMARELA),Fetranspor,4,"-22.9191","-43.3756"
