linha,descricao,agencia,sequencia,latitude,longitude
176,176-SAO CONRADO X CENTRAL,Fetranspor,27,"-22.9433","-43.1809"
176,176-SAO CONRADO X CENTRAL,Fetranspor,4,"-22.9038","-43.1835"
176,176-SAO CONRADO X CENTRAL,Fetranspor,19,"-22.9338","-43.1744"
176,176-SAO CONRADO X CENTRAL,Fetranspor,28,"-22.9472","-43.1825"
176,176-SAO CONRADO X CENTRAL,Fetranspor,38,"-22.9605","-43.2067"
176,176-SAO CONRADO X CENTRAL,Fetranspor,11,"-22.9671","-43.22"
176,176-SAO CONRADO X CENTRAL,Fetranspor,35,"-22.9269","-43.1732"
176,176-SAO CONRADO X CENTRAL,Fetranspor,10,"-22.9113","-43.1753"
176,176-SAO CONRADO X CENTRAL,Fetranspor,41,"-22.9618","-43.2151"
176,176-SAO CONRADO X CENTRAL,Fetranspor,43,"-22.9648","-43.218"
176,176-SAO CONRADO X CENTRAL,Fetranspor,26,"-22.9472","-43.1822"
176,176-SAO CONRADO X CENTRAL,Fetranspor,6,"-22.9088","-43.1805"
176,176-SAO CONRADO X CENTRAL,Fetranspor,11,"-22.9162","-43.1763"
176,176-SAO CONRADO X CENTRAL,Fetranspor,39,"-22.9608","-43.2093"
176,176-SAO CONRADO X CENTRAL,Fetranspor,49,"-22.9947","-43.2576"
176,176-SAO CONRADO X CENTRAL,Fetranspor,51,"-22.9981","-43.2667"
176,176-SAO CONRADO X CENTRAL,Fetranspor,33,"-22.9516","-43.1951"
176,176-SAO CONRADO X CENTRAL,Fetranspor,40,"-22.9611","-43.2123"
176,176-SAO CONRADO X CENTRAL,Fetranspor,21,"-22.955","-43.1947"
176,176-SAO CONRADO X CENTRAL,Fetranspor,23,"-22.9526","-43.1877"
176,176-SAO CONRADO X CENTRAL,Fetranspor,40,"-22.9122","-43.1731"
176,176-SAO CONRADO X CENTRAL,Fetranspor,45,"-22.9701","-43.2225"
176,176-SAO CONRADO X CENTRAL,Fetranspor,42,"-22.9054","-43.1737"
176,176-SAO CONRADO X CENTRAL,Fetranspor,15,"-22.9246","-43.1727"
176,176-SAO CONRADO X CENTRAL,Fetranspor,23,"-22.9406","-43.176"
176,176-SAO CONRADO X CENTRAL,Fetranspor,44,"-22.9658","-43.2189"
176,176-SAO CONRADO X CENTRAL,Fetranspor,6,"-22.9788","-43.2243"
176,176-SAO CONRADO X CENTRAL,Fetranspor,19,"-22.958","-43.1994"
176,176-SAO CONRADO X CENTRAL,Fetranspor,41,"-22.9105","-43.1718"
176,176-SAO CONRADO X CENTRAL,Fetranspor,14,"-22.9227","-43.1724"
176,176-SAO CONRADO X CENTRAL,Fetranspor,36,"-22.959","-43.2006"
176,176-SAO CONRADO X CENTRAL,Fetranspor,48,"-22.9785","-43.2274"
176,176-SAO CONRADO X CENTRAL,Fetranspor,17,"-22.9293","-43.1741"
176,176-SAO CONRADO X CENTRAL,Fetranspor,46,"-22.9051","-43.1924"
176,176-SAO CONRADO X CENTRAL,Fetranspor,3,"-22.9023","-43.1857"
176,176-SAO CONRADO X CENTRAL,Fetranspor,21,"-22.9364","-43.174"
176,176-SAO CONRADO X CENTRAL,Fetranspor,12,"-22.966","-43.2191"
176,176-SAO CONRADO X CENTRAL,Fetranspor,24,"-22.9519","-43.1858"
176,176-SAO CONRADO X CENTRAL,Fetranspor,24,"-22.9418","-43.1801"
176,176-SAO CONRADO X CENTRAL,Fetranspor,3,"-22.9951","-43.2576"
176,176-SAO CONRADO X CENTRAL,Fetranspor,44,"-22.9025","-43.1832"
176,176-SAO CONRADO X CENTRAL,Fetranspor,16,"-22.9268","-43.1734"
176,176-SAO CONRADO X CENTRAL,Fetranspor,4,"-22.9936","-43.2543"
176,176-SAO CONRADO X CENTRAL,Fetranspor,36,"-22.925","-43.1726"
176,176-SAO CONRADO X CENTRAL,Fetranspor,37,"-22.9227","-43.1723"
176,176-SAO CONRADO X CENTRAL,Fetranspor,16,"-22.9609","-43.2103"
176,176-SAO CONRADO X CENTRAL,Fetranspor,18,"-22.9318","-43.1744"
176,176-SAO CONRADO X CENTRAL,Fetranspor,34,"-22.9529","-43.1966"
176,176-SAO CONRADO X CENTRAL,Fetranspor,10,"-22.9701","-43.2225"
176,176-SAO CONRADO X CENTRAL,Fetranspor,15,"-22.9612","-43.2132"
176,176-SAO CONRADO X CENTRAL,Fetranspor,22,"-22.954","-43.1919"
176,176-SAO CONRADO X CENTRAL,Fetranspor,25,"-22.951","-43.1833"
176,176-SAO CONRADO X CENTRAL,Fetranspor,39,"-22.9156","-43.1751"
176,176-SAO CONRADO X CENTRAL,Fetranspor,8,"-22.9109","-43.1779"
176,176-SAO CONRADO X CENTRAL,Fetranspor,25,"-22.9425","-43.181"
176,176-SAO CONRADO X CENTRAL,Fetranspor,7,"-22.9764","-43.2251"
176,176-SAO CONRADO X CENTRAL,Fetranspor,2,"-22.9961","-43.2595"
176,176-SAO CONRADO X CENTRAL,Fetranspor,9,"-22.9735","-43.2255"
176,176-SAO CONRADO X CENTRAL,Fetranspor,20,"-22.9557","-43.1966"
176,176-SAO CONRADO X CENTRAL,Fetranspor,45,"-22.904","-43.1883"
176,176-SAO CONRADO X CENTRAL,Fetranspor,18,"-22.9603","-43.2046"
176,176-SAO CONRADO X CENTRAL,Fetranspor,32,"-22.9506","-43.1932"
176,176-SAO CONRADO X CENTRAL,Fetranspor,46,"-22.9738","-43.226"
176,176-SAO CONRADO X CENTRAL,Fetranspor,17,"-22.9606","-43.2072"
176,176-SAO CONRADO X CENTRAL,Fetranspor,9,"-22.9097","-43.1767"
176,176-SAO CONRADO X CENTRAL,Fetranspor,28,"-22.9426","-43.1768"
176,176-SAO CONRADO X CENTRAL,Fetranspor,35,"-22.9556","-43.1981"
176,176-SAO CONRADO X CENTRAL,Fetranspor,8,"-22.9751","-43.2258"
176,176-SAO CONRADO X CENTRAL,Fetranspor,29,"-22.9424","-43.1741"
176,176-SAO CONRADO X CENTRAL,Fetranspor,1,"-22.905","-43.1924"
176,176-SAO CONRADO X CENTRAL,Fetranspor,12,"-22.9181","-43.1766"
176,176-SAO CONRADO X CENTRAL,Fetranspor,13,"-22.9649","-43.2182"
176,176-SAO CONRADO X CENTRAL,Fetranspor,43,"-22.9005","-43.1779"
176,176-SAO CONRADO X CENTRAL,Fetranspor,29,"-22.9492","-43.1839"
176,176-SAO CONRADO X CENTRAL,Fetranspor,31,"-22.95","-43.1909"
176,176-SAO CONRADO X CENTRAL,Fetranspor,26,"-22.9448","-43.1823"
176,176-SAO CONRADO X CENTRAL,Fetranspor,1,"-22.9981","-43.2658"
176,176-SAO CONRADO X CENTRAL,Fetranspor,30,"-22.9412","-43.1724"
176,176-SAO CONRADO X CENTRAL,Fetranspor,37,"-22.9602","-43.2043"
176,176-SAO CONRADO X CENTRAL,Fetranspor,42,"-22.9632","-43.2166"
176,176-SAO CONRADO X CENTRAL,Fetranspor,2,"-22.9027","-43.1868"
176,176-SAO CONRADO X CENTRAL,Fetranspor,5,"-22.9786","-43.2271"
176,176-SAO CONRADO X CENTRAL,Fetranspor,38,"-22.9195","-43.1748"
