linha,descricao,agencia,sequencia,latitude,longitude
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,30,"-22.8887","-43.3143"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,48,"-22.8668","-43.3544"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,31,"-22.8884","-43.3221"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,53,"-22.9052","-43.2915"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,57,"-22.9034","-43.2791"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,24,"-22.8962","-43.3099"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,45,"-22.8712","-43.347"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,49,"-22.8656","-43.3567"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,48,"-22.9038","-43.2987"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,17,"-22.8738","-43.3426"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,14,"-22.9013","-43.2964"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,31,"-22.8892","-43.3187"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,46,"-22.8696","-43.3499"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,56,"-22.9027","-43.2818"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,24,"-22.8823","-43.3342"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,10,"-22.8659","-43.3587"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,11,"-22.8652","-43.3577"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,14,"-22.8684","-43.3517"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,18,"-22.8957","-43.2963"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,16,"-22.8715","-43.3464"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,38,"-22.896","-43.3128"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,9,"-22.9052","-43.2916"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,51,"-22.9044","-43.2948"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,28,"-22.8907","-43.3104"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,42,"-22.8767","-43.3378"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,59,"-22.8638","-43.373"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,4,"-22.8621","-43.3691"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,44,"-22.897","-43.3003"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,25,"-22.8963","-43.3125"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,33,"-22.8895","-43.3174"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,37,"-22.894","-43.3119"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,42,"-22.896","-43.3052"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,45,"-22.8977","-43.2976"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,16,"-22.8987","-43.2956"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,56,"-22.8616","-43.3697"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,34,"-22.8887","-43.3129"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,1,"-22.9019","-43.28"
653,653-MARECHAL HERMES X MEIER (CIRCULAR),Fetranspor,22,"-22.896","-43.3058"
