linha,descricao,agencia,sequencia,latitude,longitude
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,28,"-22.9095","-43.2002"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,1,"-22.7878","-43.1759"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,22,"-22.8214","-43.2287"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,37,"-22.9102","-43.1739"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,27,"-22.9101","-43.206"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,10,"-22.7981","-43.1901"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,11,"-22.7977","-43.1924"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,29,"-22.9114","-43.1995"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,2,"-22.7893","-43.1786"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,17,"-22.8045","-43.2068"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,19,"-22.8114","-43.2176"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,38,"-22.9103","-43.1735"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,32,"-22.9122","-43.1893"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,31,"-22.9141","-43.1963"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,13,"-22.7982","-43.1956"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,7,"-22.7963","-43.1836"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,25,"-22.8324","-43.2427"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,9,"-22.7985","-43.1878"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,12,"-22.7972","-43.1935"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,24,"-22.833","-43.2391"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,6,"-22.7952","-43.1809"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,16,"-22.8021","-43.2027"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,18,"-22.8056","-43.212"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,23,"-22.8254","-43.233"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,26,"-22.9081","-43.2099"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,4,"-22.7928","-43.1802"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,20,"-22.8153","-43.2219"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,36,"-22.9092","-43.1743"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,3,"-22.7906","-43.1809"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,8,"-22.7979","-43.1849"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,34,"-22.9088","-43.179"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,14,"-22.7994","-43.1972"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,15,"-22.7999","-43.1988"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,30,"-22.9137","-43.1995"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,5,"-22.7947","-43.1801"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,21,"-22.8181","-43.225"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,33,"-22.911","-43.1857"
321,321-BANCARIOS X CASTELO (VIA LINHA VERMELHA) CIRCULAR,Fetranspor,35,"-22.9078","-43.1748"
