linha,descricao,agencia,sequencia,latitude,longitude
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,10,"-22.9195","-43.2202"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,81,"-22.8839","-43.327"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,53,"-22.9232","-43.2599"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,27,"-22.9236","-43.2504"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,13,"-22.8892","-43.319"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,19,"-22.896","-43.3128"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,42,"-22.9082","-43.2739"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,46,"-22.9134","-43.2694"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,79,"-22.9247","-43.2117"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,44,"-22.9041","-43.2697"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,46,"-22.904","-43.2759"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,59,"-22.9026","-43.2968"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,32,"-22.9043","-43.2965"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,62,"-22.9318","-43.2415"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,80,"-22.886","-43.3248"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,15,"-22.8887","-43.3129"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,18,"-22.894","-43.3119"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,35,"-22.9052","-43.2915"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,39,"-22.9126","-43.2668"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,42,"-22.9085","-43.27"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,51,"-22.9192","-43.2621"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,76,"-22.8887","-43.3143"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,19,"-22.9291","-43.2391"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,47,"-22.9019","-43.28"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,53,"-22.9047","-43.2885"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,57,"-22.9044","-43.295"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,29,"-22.9046","-43.3018"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,55,"-22.9256","-43.2549"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,25,"-22.9238","-43.2467"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,54,"-22.9245","-43.2573"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,61,"-22.9003","-43.2961"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,66,"-22.9283","-43.2364"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,38,"-22.9133","-43.265"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,82,"-22.8825","-43.3286"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,4,"-22.8804","-43.3345"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,20,"-22.8962","-43.311"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,1,"-22.9228","-43.2097"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,41,"-22.9101","-43.2695"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,64,"-22.8957","-43.2963"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,7,"-22.884","-43.3321"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,22,"-22.896","-43.3058"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,43,"-22.9086","-43.2711"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,75,"-22.9213","-43.2198"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,45,"-22.9047","-43.2734"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,57,"-22.9248","-43.2509"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,15,"-22.9259","-43.235"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,21,"-22.9255","-43.2403"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,73,"-22.8918","-43.3109"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,5,"-22.8823","-43.3342"
607,607-CASCADURA X RIO COMPRIDO (VIA ESTACIO) - CIRCULAR,Fetranspor,11,"-22.9207","-43.223"
