linha,descricao,agencia,sequencia,shape_id,latitude,longitude
184,184-LARANJEIRAS X CENTRAL,Fetranspor,0,17391142,"-22.9049","-43.1917"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,1,17391142,"-22.9048","-43.1919"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,2,17391142,"-22.9048","-43.1919"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,3,17391142,"-22.9051","-43.1928"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,4,17391142,"-22.9051","-43.193"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,5,17391142,"-22.9051","-43.193"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,6,17391142,"-22.9051","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,7,17391142,"-22.905","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,8,17391142,"-22.905","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,9,17391142,"-22.9049","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,10,17391142,"-22.9049","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,11,17391142,"-22.9048","-43.1931"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,12,17391142,"-22.9047","-43.193"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,13,17391142,"-22.9046","-43.1926"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,14,17391142,"-22.9044","-43.1915"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,15,17391142,"-22.9044","-43.1915"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,16,17391142,"-22.904","-43.1905"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,17,17391142,"-22.904","-43.1905"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,18,17391142,"-22.9037","-43.1896"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,19,17391142,"-22.9035","-43.1891"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,20,17391142,"-22.9034","-43.1886"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,21,17391142,"-22.9034","-43.1886"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,22,17391142,"-22.9033","-43.1885"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,23,17391142,"-22.9032","-43.188"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,24,17391142,"-22.903","-43.1874"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,25,17391142,"-22.903","-43.1874"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,26,17391142,"-22.9025","-43.1861"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,27,17391142,"-22.9025","-43.1861"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,28,17391142,"-22.9022","-43.1853"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,29,17391142,"-22.902","-43.1849"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,30,17391142,"-22.9019","-43.1847"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,31,17391142,"-22.9019","-43.1847"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,32,17391142,"-22.9019","-43.1846"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,33,17391142,"-22.9019","-43.1846"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,34,17391142,"-22.902","-43.1845"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,35,17391142,"-22.902","-43.1844"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,36,17391142,"-22.9026","-43.1841"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,37,17391142,"-22.9026","-43.1841"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,38,17391142,"-22.9026","-43.184"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,39,17391142,"-22.9027","-43.184"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,40,17391142,"-22.9027","-43.184"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,41,17391142,"-22.9029","-43.1839"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,42,17391142,"-22.9029","-43.1839"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,43,17391142,"-22.903","-43.1838"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,44,17391142,"-22.903","-43.1838"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,45,17391142,"-22.9036","-43.1836"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,46,17391142,"-22.9036","-43.1836"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,47,17391142,"-22.904","-43.1834"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,48,17391142,"-22.904","-43.1834"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,49,17391142,"-22.9045","-43.1832"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,50,17391142,"-22.9045","-43.1832"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,51,17391142,"-22.9048","-43.1831"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,52,17391142,"-22.9048","-43.1831"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,53,17391142,"-22.905","-43.183"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,54,17391142,"-22.9053","-43.1829"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,55,17391142,"-22.9053","-43.1829"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,56,17391142,"-22.9057","-43.1827"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,57,17391142,"-22.9057","-43.1827"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,58,17391142,"-22.9058","-43.1826"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,59,17391142,"-22.9064","-43.1824"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,60,17391142,"-22.9064","-43.1824"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,61,17391142,"-22.9064","-43.1823"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,62,17391142,"-22.9064","-43.1822"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,63,17391142,"-22.9065","-43.1822"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,64,17391142,"-22.9065","-43.1821"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,65,17391142,"-22.9066","-43.1821"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,66,17391142,"-22.9069","-43.182"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,67,17391142,"-22.907","-43.1819"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,68,17391142,"-22.907","-43.1819"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,69,17391142,"-22.9073","-43.1818"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,70,17391142,"-22.9074","-43.1817"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,71,17391142,"-22.9074","-43.1817"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,72,17391142,"-22.9074","-43.1817"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,73,17391142,"-22.9074","-43.1813"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,74,17391142,"-22.9075","-43.1811"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,75,17391142,"-22.9075","-43.1811"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,76,17391142,"-22.9075","-43.1811"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,77,17391142,"-22.9076","-43.181"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,78,17391142,"-22.9076","-43.1809"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,79,17391142,"-22.9077","-43.1809"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,80,17391142,"-22.9078","-43.1808"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,81,17391142,"-22.908","-43.1808"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,82,17391142,"-22.9084","-43.1806"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,83,17391142,"-22.9084","-43.1806"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,84,17391142,"-22.9091","-43.1803"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,85,17391142,"-22.9091","-43.1803"
184,184-LARANJEIRAS X CENTRAL,Fetranspor,86,17391142,"-22.9092","-43.1803"
