linha,descricao,agencia,sequencia,shape_id,latitude,longitude
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,0,17373357,"-22.9239","-43.2361"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,1,17373357,"-22.9235","-43.2353"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,2,17373357,"-22.9235","-43.2353"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,3,17373357,"-22.9234","-43.2352"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,4,17373357,"-22.9234","-43.2352"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,5,17373357,"-22.923","-43.2341"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,6,17373357,"-22.9224","-43.233"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,7,17373357,"-22.9224","-43.233"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,8,17373357,"-22.9224","-43.233"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,9,17373357,"-22.9221","-43.2331"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,10,17373357,"-22.9216","-43.2333"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,11,17373357,"-22.9216","-43.2333"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,12,17373357,"-22.9211","-43.2334"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,13,17373357,"-22.9203","-43.2337"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,14,17373357,"-22.9203","-43.2337"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,15,17373357,"-22.9195","-43.234"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,16,17373357,"-22.9195","-43.234"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,17,17373357,"-22.9194","-43.2341"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,18,17373357,"-22.9194","-43.2341"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,19,17373357,"-22.9195","-43.2345"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,20,17373357,"-22.9196","-43.2346"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,21,17373357,"-22.9197","-43.2348"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,22,17373357,"-22.9197","-43.2349"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,23,17373357,"-22.9199","-43.235"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,24,17373357,"-22.9199","-43.235"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,25,17373357,"-22.9205","-43.2353"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,26,17373357,"-22.9205","-43.2353"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,27,17373357,"-22.9211","-43.2357"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,28,17373357,"-22.9211","-43.2357"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,29,17373357,"-22.9214","-43.2359"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,30,17373357,"-22.9214","-43.2359"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,31,17373357,"-22.9215","-43.2361"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,32,17373357,"-22.9215","-43.2361"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,33,17373357,"-22.9221","-43.2373"
630,630-SAENS PENA X PENHA (IAPI) VIA BENFICA,Fetranspor,34,17373357,"-22.9221","-43.2373"
