linha,descricao,agencia,sequencia,shape_id,latitude,longitude
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,0,17401795,"-22.8993","-43.1778"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,1,17401795,"-22.8995","-43.1784"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,2,17401795,"-22.8996","-43.1788"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,3,17401795,"-22.8996","-43.1788"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,4,17401795,"-22.8996","-43.1788"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,5,17401795,"-22.8996","-43.179"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,6,17401795,"-22.8998","-43.1796"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,7,17401795,"-22.8998","-43.1796"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,8,17401795,"-22.9003","-43.1795"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,9,17401795,"-22.9003","-43.1795"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,10,17401795,"-22.901","-43.1792"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,11,17401795,"-22.901","-43.1792"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,12,17401795,"-22.9011","-43.1796"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,13,17401795,"-22.9013","-43.1802"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,14,17401795,"-22.9013","-43.1802"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,15,17401795,"-22.9017","-43.1814"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,16,17401795,"-22.9018","-43.1816"
312,312-OLARIA X CANDELARIA (VIA SAO CRISTOVAO) - CIRCULAR,Fetranspor,17,17401795,"-22.9018","-43.1816"
