linha,descricao,agencia,sequencia,shape_id,latitude,longitude
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,0,17395105,"-22.9465","-43.2574"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,1,17395105,"-22.9464","-43.2572"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,2,17395105,"-22.9463","-43.2571"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,3,17395105,"-22.9463","-43.2571"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,4,17395105,"-22.9461","-43.2569"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,5,17395105,"-22.946","-43.2568"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,6,17395105,"-22.9453","-43.2564"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,7,17395105,"-22.9449","-43.2561"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,8,17395105,"-22.9447","-43.256"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,9,17395105,"-22.9447","-43.256"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,10,17395105,"-22.9435","-43.2551"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,11,17395105,"-22.9435","-43.2551"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,12,17395105,"-22.9417","-43.254"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,13,17395105,"-22.9417","-43.254"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,14,17395105,"-22.9416","-43.2539"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,15,17395105,"-22.9414","-43.2538"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,16,17395105,"-22.9413","-43.2537"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,17,17395105,"-22.9412","-43.2537"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,18,17395105,"-22.9411","-43.2537"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,19,17395105,"-22.941","-43.2537"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,20,17395105,"-22.9404","-43.2537"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,21,17395105,"-22.9403","-43.2536"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,22,17395105,"-22.9403","-43.2536"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,23,17395105,"-22.9402","-43.2536"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,24,17395105,"-22.9401","-43.2535"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,25,17395105,"-22.94","-43.2534"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,26,17395105,"-22.9399","-43.2533"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,27,17395105,"-22.9399","-43.2533"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,28,17395105,"-22.9398","-43.253"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,29,17395105,"-22.9398","-43.2528"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,30,17395105,"-22.9397","-43.2527"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,31,17395105,"-22.9396","-43.2525"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,32,17395105,"-22.9396","-43.2525"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,33,17395105,"-22.9394","-43.2522"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,34,17395105,"-22.9394","-43.2521"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,35,17395105,"-22.9394","-43.2519"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,36,17395105,"-22.9394","-43.2515"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,37,17395105,"-22.9394","-43.2514"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,38,17395105,"-22.9394","-43.2513"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,39,17395105,"-22.9393","-43.2512"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,40,17395105,"-22.9393","-43.2511"
603,603-USINA X PRACA SAENS PENA (VIA SAO MIGUEL),Fetranspor,41,17395105,"-22.9392","-43.251"
