linha,descricao,agencia,sequencia,shape_id,latitude,longitude
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,0,17374776,"-22.8801","-43.2696"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,1,17374776,"-22.8799","-43.27"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,2,17374776,"-22.8794","-43.2709"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,3,17374776,"-22.8793","-43.2712"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,4,17374776,"-22.879","-43.2718"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,5,17374776,"-22.8787","-43.2724"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,6,17374776,"-22.8786","-43.2728"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,7,17374776,"-22.8786","-43.2728"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,8,17374776,"-22.8785","-43.273"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,9,17374776,"-22.8783","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,10,17374776,"-22.8783","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,11,17374776,"-22.8781","-43.2736"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,12,17374776,"-22.878","-43.2737"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,13,17374776,"-22.878","-43.2737"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,14,17374776,"-22.8779","-43.2738"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,15,17374776,"-22.8777","-43.2741"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,16,17374776,"-22.8776","-43.2742"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,17,17374776,"-22.8774","-43.2742"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,18,17374776,"-22.8774","-43.2742"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,19,17374776,"-22.8773","-43.2743"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,20,17374776,"-22.8771","-43.2743"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,21,17374776,"-22.877","-43.2743"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,22,17374776,"-22.8768","-43.2742"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,23,17374776,"-22.8767","-43.274"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,24,17374776,"-22.8764","-43.2738"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,25,17374776,"-22.8763","-43.2735"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,26,17374776,"-22.8762","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,27,17374776,"-22.8761","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,28,17374776,"-22.876","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,29,17374776,"-22.8759","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,30,17374776,"-22.8758","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,31,17374776,"-22.8758","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,32,17374776,"-22.8758","-43.2733"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,33,17374776,"-22.8757","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,34,17374776,"-22.8757","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,35,17374776,"-22.8757","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,36,17374776,"-22.8756","-43.2734"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,37,17374776,"-22.8755","-43.2735"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,38,17374776,"-22.8754","-43.2737"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,39,17374776,"-22.8754","-43.2738"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,40,17374776,"-22.8754","-43.2739"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,41,17374776,"-22.8754","-43.274"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,42,17374776,"-22.8754","-43.2741"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,43,17374776,"-22.8759","-43.2751"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,44,17374776,"-22.8761","-43.2755"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,45,17374776,"-22.8763","-43.2757"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,46,17374776,"-22.8763","-43.2757"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,47,17374776,"-22.8764","-43.2759"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,48,17374776,"-22.8765","-43.276"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,49,17374776,"-22.8765","-43.2761"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,50,17374776,"-22.8767","-43.2763"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,51,17374776,"-22.8773","-43.2768"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,52,17374776,"-22.8776","-43.2771"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,53,17374776,"-22.8779","-43.2773"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,54,17374776,"-22.8781","-43.2774"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,55,17374776,"-22.8784","-43.2776"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,56,17374776,"-22.8784","-43.2776"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,57,17374776,"-22.879","-43.2781"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,58,17374776,"-22.8793","-43.2784"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,59,17374776,"-22.8796","-43.2787"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,60,17374776,"-22.8799","-43.2793"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,61,17374776,"-22.8803","-43.2799"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,62,17374776,"-22.8807","-43.2807"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,63,17374776,"-22.8811","-43.2816"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,64,17374776,"-22.8813","-43.2823"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,65,17374776,"-22.8814","-43.2827"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,66,17374776,"-22.8817","-43.2837"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,67,17374776,"-22.8817","-43.2837"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,68,17374776,"-22.8821","-43.2847"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,69,17374776,"-22.8823","-43.2856"
613,613-DEL CASTILHO X RIO CENTRO (VIA AUTODROMO E LINHA AMARELA),Fetranspor,70,17374776,"-22.8824","-43.2863"
