linha,descricao,agencia,sequencia,shape_id,latitude,longitude
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,0,17425309,"-22.8821","-43.2603"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,1,17425309,"-22.8821","-43.2604"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,2,17425309,"-22.882","-43.2618"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,3,17425309,"-22.882","-43.2618"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,4,17425309,"-22.8829","-43.2612"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,5,17425309,"-22.8829","-43.2612"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,6,17425309,"-22.8839","-43.2606"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,7,17425309,"-22.8839","-43.2606"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,8,17425309,"-22.8841","-43.2608"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,9,17425309,"-22.8842","-43.261"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,10,17425309,"-22.8849","-43.2619"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,11,17425309,"-22.8851","-43.2625"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,12,17425309,"-22.8856","-43.2635"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,13,17425309,"-22.8856","-43.2635"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,14,17425309,"-22.8856","-43.2637"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,15,17425309,"-22.8857","-43.2639"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,16,17425309,"-22.8857","-43.2639"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,17,17425309,"-22.8858","-43.264"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,18,17425309,"-22.8861","-43.2648"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,19,17425309,"-22.8861","-43.2648"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,20,17425309,"-22.8864","-43.2651"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,21,17425309,"-22.8865","-43.2653"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,22,17425309,"-22.8865","-43.2653"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,23,17425309,"-22.8867","-43.2654"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,24,17425309,"-22.8869","-43.2655"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,25,17425309,"-22.888","-43.2662"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,26,17425309,"-22.888","-43.2662"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,27,17425309,"-22.8882","-43.2663"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,28,17425309,"-22.8882","-43.2663"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,29,17425309,"-22.8889","-43.2668"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,30,17425309,"-22.8889","-43.2668"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,31,17425309,"-22.889","-43.2668"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,32,17425309,"-22.889","-43.2668"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,33,17425309,"-22.889","-43.2668"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,34,17425309,"-22.8892","-43.2669"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,35,17425309,"-22.8895","-43.2671"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,36,17425309,"-22.8895","-43.2671"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,37,17425309,"-22.8896","-43.2672"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,38,17425309,"-22.8896","-43.2672"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,39,17425309,"-22.8901","-43.2675"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,40,17425309,"-22.8901","-43.2675"
662,662-MEIER X MARIA DA GRACA (VIA DEL CASTILHO) CIRCULAR,Fetranspor,41,17425309,"-22.8905","-43.2678"
